fps_count,is_gookmin100,video_length_seconds,exercise_id,file_size,job_ymd,operation_name,repetition_count_name,resolution,set_count_name,training_week_name,body_part,exercise_tool,fitness_factor_name,fitness_level_name,target_group,training_aim_name,training_place_name,training_section_name,training_sequence_name,training_step_name,image_url,video_url,description,image_file_name,title,standard_title,muscles
29.96,1,50,130,8245815,20221001,NULL,,1280*720,,NULL,하체,기타,근력,초급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00476/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00476.mp4,"근력 운동 중, 앉아서 다리 굽히기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00476_SC_00003.jpeg,"앉아서 다리 굽히기","레그 컬","뒤넙다리근,장딴지근,큰볼기근"
29.96,1,59,131,9401695,20220925,NULL,,1280*720,,NULL,하체,기타,근력,초급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00477/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00477.mp4,"근력 운동 중, 뒤꿈치 들기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00477_SC_00002.jpeg,"뒤꿈치 들기","카프 레이즈","가자미근,장딴지근"
29.96,1,65,132,10474061,20221001,NULL,,1280*720,,NULL,하체,기타,근력,초급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00478/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00478.mp4,"근력 운동 중, 앉아서 다리 모으기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00478_SC_00008.jpeg,"앉아서 다리 모으기","레그 프레스",모음근
29.96,1,49,133,7875021,20220930,NULL,,1280*720,,NULL,하체,기타,근력,초급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00479/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00479.mp4,"근력 운동 중, 앉아서 앉아서 다리 벌리기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00479_SC_00004.jpeg,"앉아서 다리 벌리기","레그 스프레드","넙다리근막긴장근,중간볼기근"
29.96,1,62,134,9794352,20221001,NULL,,1280*720,,NULL,상체,기타,근력,중급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00480/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00480.mp4,"근력 운동 중, 앉아서 당겨 내리기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00480_SC_00005.jpeg,"앉아서 당겨 내리기","시트드 로우","넓은등근,마름모근"
29.96,1,58,135,9505569,20221003,NULL,,1280*720,,NULL,상체,기타,근력,중급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00481/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00481.mp4,"근력 운동 중, 앉아서 뒤로 당기기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00481_SC_00004.jpeg,"앉아서 뒤로 당기기","시트드 로우","넓은등근,어깨세모근"
29.96,1,61,136,9855946,20220920,NULL,,1280*720,,NULL,몸통,기타,근력,고급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00482/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00482.mp4,"근력 운동 중, 몸통 들어올리기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00482_SC_00003.jpeg,"몸통 들어올리기","코어 리프트",허리근
29.96,1,55,137,8961959,20221003,NULL,,1280*720,,NULL,몸통,기타,근력,초급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00483/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00483.mp4,"근력 운동 중, 앉아서 몸통 움츠리기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00483_SC_00011.jpeg,"앉아서 몸통 움츠리기",크런치,배곧은근
29.96,1,55,138,8803042,20221003,NULL,,1280*720,,NULL,상체,기타,근력,초급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00484/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00484.mp4,"근력 운동 중, 앉아서 밀기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00484_SC_00003.jpeg,"앉아서 밀기",프레스,"앞세모근,위팔세갈래근,큰가슴근"
29.96,1,55,139,8923522,20220916,NULL,,1280*720,,NULL,상체,기타,근력,초급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00485/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00485.mp4,"근력 운동 중, 누워서 밀기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00485_FR_00012.jpeg,"누워서 밀기",프레스,큰가슴근
