fps_count,is_gookmin100,video_length_seconds,exercise_id,file_size,job_ymd,operation_name,repetition_count_name,resolution,set_count_name,training_week_name,body_part,exercise_tool,fitness_factor_name,fitness_level_name,target_group,training_aim_name,training_place_name,training_section_name,training_sequence_name,training_step_name,image_url,video_url,description,image_file_name,title,training_name,standard_title
29.96,1,100,980,16317450,20220930,운동처방동영상,,1280*720,,,하체,기타,평형성,초급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00310/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00310.mp4,"실내에서 할 수 있는 운동 중, 베개 밟고 서기 루틴 프로그램을 설명한 운동처방 동영상",0AUDLJ08S_00310_SC_00011.jpeg,베개 밟고 서기 루틴 프로그램,베개 밟고 서기 루틴 프로그램,루틴/프로그램
29.96,1,34,981,5277104,20221111,운동처방동영상,,1280*720,,,전신,맨몸,순발력,고급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00311/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00311.mp4,"실내에서 할 수 있는 운동 중, 앉았다 일어서면서 점프하기운동을 설명한 운동처방 동영상",0AUDLJ08S_00311_SC_00001.jpeg,앉았다 일어서면서 점프하기,앉았다 일어서면서 점프하기,앉았다 일어서면서 점프하기
29.96,1,49,982,7899341,20221013,운동처방동영상,,1280*720,,,하체,맨몸,심폐지구력,중급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00312/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00312.mp4,"실내에서 할 수 있는 운동 중, 무릎 높여 제자리 달리기운동을 설명한 운동처방 동영상",0AUDLJ08S_00312_SC_00001.jpeg,무릎 높여 제자리 달리기,무릎 높여 제자리 달리기,걷기/달리기
29.96,1,54,983,8732112,20220930,운동처방동영상,,1280*720,,,상체,기타,근력/근지구력,초급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00313/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00313.mp4,"실내에서 할 수 있는 운동 중, 옆으로 펀치하기운동을 설명한 운동처방 동영상",0AUDLJ08S_00313_SC_00001.jpeg,옆으로 펀치하기,옆으로 펀치하기,옆으로 펀치하기
29.96,1,54,984,8531251,20220930,운동처방동영상,,1280*720,,,전신,맨몸,심폐지구력,중급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00314/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00314.mp4,"실내에서 할 수 있는 운동 중, 팔벌려뛰기운동을 설명한 운동처방 동영상",0AUDLJ08S_00314_SC_00001.jpeg,팔벌려뛰기,팔 벌려 뛰기,걷기/달리기
29.96,1,47,985,7552209,20221016,운동처방동영상,,1280*720,,,전신,맨몸,심폐지구력,고급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00315/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00315.mp4,"실내에서 할 수 있는 운동 중, 버피운동을 설명한 운동처방 동영상",0AUDLJ08S_00315_FR_00002.jpeg,버피운동,버피 운동,버피
29.96,1,45,986,7290023,20220930,운동처방동영상,,1280*720,,,전신,맨몸,근력/근지구력,고급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00316/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00316.mp4,"실내에서 할 수 있는 운동 중, 점프 팔굽혀펴기운동을 설명한 운동처방 동영상",0AUDLJ08S_00316_SC_00011.jpeg,점프 팔굽혀펴기,점프 팔 굽혀 펴기,푸시업
29.96,1,44,987,7050140,20221111,운동처방동영상,,1280*720,,,하체,기타,심폐지구력,고급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00317/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00317.mp4,"실내에서 할 수 있는 운동 중, 계단 두발 뛰기운동을 설명한 운동처방 동영상",0AUDLJ08S_00317_SC_00001.jpeg,계단 두발 뛰기,계단 두발 뛰기,걷기/달리기
29.96,1,49,988,7911438,20220929,운동처방동영상,,1280*720,,,하체,기타,심폐지구력,고급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00318/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00318.mp4,"실내에서 할 수 있는 운동 중, 계단 두 칸씩 두발 뛰기운동을 설명한 운동처방 동영상",0AUDLJ08S_00318_SC_00014.jpeg,계단 두 칸씩 두발 뛰기,계단 두 칸씩 두발 뛰기,걷기/달리기
29.96,1,51,989,8278980,20220929,운동처방동영상,,1280*720,,,하체,기타,순발력,고급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00319/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00319.mp4,"실내에서 할 수 있는 운동 중, 계단 한발 뛰기운동을 설명한 운동처방 동영상",0AUDLJ08S_00319_SC_00001.jpeg,계단 한발 뛰기,계단 한발 뛰기,걷기/달리기
